filname, time (UTC),avg0,s0,c0,blur0,avg1,s1,c1,blur1
1576260001.jpg,2019-12-13 18:00:00,118,2.8, 45.7,-89.1,183,4.6, 49.0,-80.1
1576261801.jpg,2019-12-13 18:30:00,82,1.8, 30.6,-97.0,81,2.5, 28.6,-91.2
1576263601.jpg,2019-12-13 19:00:00,79,1.6, 29.8,-99.4,78,2.2, 27.3,-94.3
1576265401.jpg,2019-12-13 19:30:00,82,1.7, 30.9,-99.1,85,2.3, 29.3,-92.8
1576267201.jpg,2019-12-13 20:00:00,83,1.7, 31.1,-99.9,78,2.1, 26.3,-95.4
1576269001.jpg,2019-12-13 20:30:00,74,1.4, 29.2,-101.9,73,1.8, 25.5,-97.1
1576270801.jpg,2019-12-13 21:00:00,66,1.4, 24.7,-102.8,77,2.0, 25.6,-94.8
1576409401.jpg,2019-12-15 11:30:00,44,0.4, 12.6,-131.7,39,1.0, 16.8,-110.0
1576411201.jpg,2019-12-15 12:00:00,182,0.6, 52.4,-115.7,175,4.2, 58.5,-78.8
1576413001.jpg,2019-12-15 12:30:00,110,0.5, 41.9,-120.0,113,3.0, 54.4,-82.8
1576414801.jpg,2019-12-15 13:00:00,104,0.5, 37.4,-121.5,110,2.8, 49.9,-84.7
1576416601.jpg,2019-12-15 13:30:00,190,0.7, 50.6,-115.6,171,3.6, 63.7,-82.9
1576418401.jpg,2019-12-15 14:00:00,87,0.5, 29.0,-124.8,93,2.7, 49.9,-89.6
1576420201.jpg,2019-12-15 14:30:00,123,0.6, 45.0,-118.0,122,3.4, 75.3,-84.2
1576422001.jpg,2019-12-15 15:00:00,114,0.6, 37.3,-120.9,112,3.2, 70.5,-85.6
1576443601.jpg,2019-12-15 21:00:00,62,0.4, 30.1,-127.5,70,1.5, 34.2,-97.6
1576495801.jpg,2019-12-16 11:30:00,53,0.4, 12.4,-130.9,62,1.7, 30.7,-96.4
1576497601.jpg,2019-12-16 12:00:00,167,0.7, 53.2,-115.1,168,4.2, 57.0,-77.6
1576499401.jpg,2019-12-16 12:30:00,138,0.7, 53.8,-115.4,141,3.8, 57.1,-78.1
1576501201.jpg,2019-12-16 13:00:00,88,0.5, 35.7,-123.8,97,2.6, 49.6,-84.7
