filname, time (UTC),avg0,s0,c0,avg1,s1,c1
1596718801.jpg,2020-08-06 13:00:00,119,3.7, 50.0,122,4.4, 57.7
1606334401.jpg,2020-11-25 20:00:00,81,0.8, 44.4,75,1.6, 24.9
1585778401.jpg,2020-04-01 22:00:00,70,0.6, 38.2,71,0.7, 25.5
1604066401.jpg,2020-10-30 14:00:00,113,0.9, 69.6,116,1.3, 67.9
1598119201.jpg,2020-08-22 18:00:00,110,1.0, 39.4,106,1.5, 27.0
1595192401.jpg,2020-07-19 21:00:00,104,1.7, 52.4,109,2.0, 33.7
1603650601.jpg,2020-10-25 18:30:00,87,0.8, 49.8,82,0.8, 36.2
1607450401.jpg,2020-12-08 18:00:00,105,1.3, 56.6,89,1.3, 39.6
1578155401.jpg,2020-01-04 16:30:00,151,0.7, 74.4,160,1.0, 62.9
1585328401.jpg,2020-03-27 17:00:00,114,1.2, 29.8,111,1.3, 27.3
1591362001.jpg,2020-06-05 13:00:00,89,0.6, 32.6,93,0.6, 31.2
1592044201.jpg,2020-06-13 10:30:00,95,1.7, 66.3,90,2.0, 51.6
1588593601.jpg,2020-05-04 12:00:00,106,1.5, 66.6,89,1.6, 41.0
1606822201.jpg,2020-12-01 11:30:00,50,0.8, 20.9,60,0.8, 28.5
1597773601.jpg,2020-08-18 18:00:00,117,2.3, 42.4,108,2.0, 31.3
1577188801.jpg,2019-12-24 12:00:00,178,1.6, 50.0,178,2.7, 50.7
1603805401.jpg,2020-10-27 13:30:00,162,0.8, 64.1,171,1.0, 55.7
1592256601.jpg,2020-06-15 21:30:00,103,1.6, 55.3,96,1.9, 32.7
1594927801.jpg,2020-07-16 19:30:00,99,1.4, 38.2,93,1.3, 24.8
1600516801.jpg,2020-09-19 12:00:00,105,0.5, 25.0,103,0.5, 33.5
1595536201.jpg,2020-07-23 20:30:00,80,1.4, 56.4,82,2.0, 41.9
1601902801.jpg,2020-10-05 13:00:00,93,1.8, 38.9,94,2.1, 44.4
1581697801.jpg,2020-02-14 16:30:00,114,1.3, 31.7,118,1.7, 45.1
1585602001.jpg,2020-03-30 21:00:00,87,0.6, 41.5,90,0.7, 39.0
1587837601.jpg,2020-04-25 18:00:00,112,3.0, 46.6,91,2.6, 31.2
1596713401.jpg,2020-08-06 11:30:00,108,3.2, 46.4,108,3.2, 59.6
1605877201.jpg,2020-11-20 13:00:00,104,1.2, 48.8,98,1.7, 38.6
1600284601.jpg,2020-09-16 19:30:00,92,1.0, 36.3,97,1.3, 27.7
1584529201.jpg,2020-03-18 11:00:00,153,4.3, 54.4,151,2.8, 58.8
1600606801.jpg,2020-09-20 13:00:00,73,0.4, 34.9,76,0.4, 28.6
1595853001.jpg,2020-07-27 12:30:00,112,3.5, 47.1,119,4.3, 56.3
1579111201.jpg,2020-01-15 18:00:00,105,1.8, 59.0,116,2.2, 86.4
1610371801.jpg,2021-01-11 13:30:00,116,0.6, 58.9,103,0.7, 49.8
1583609401.jpg,2020-03-07 19:30:00,101,1.0, 40.4,91,1.0, 36.3
1581507001.jpg,2020-02-12 11:30:00,190,2.9, 49.1,195,3.7, 48.9
1603629001.jpg,2020-10-25 12:30:00,119,1.0, 45.5,123,1.2, 51.2
1586106001.jpg,2020-04-05 17:00:00,107,1.2, 34.5,98,1.3, 28.1
1601496001.jpg,2020-09-30 20:00:00,108,2.6, 75.0,107,2.8, 69.9
1593167401.jpg,2020-06-26 10:30:00,131,2.1, 64.3,137,2.3, 68.0
1602417601.jpg,2020-10-11 12:00:00,157,1.5, 49.1,135,2.2, 50.8
1581883201.jpg,2020-02-16 20:00:00,72,0.6, 17.7,72,0.9, 16.7
1607797801.jpg,2020-12-12 18:30:00,104,0.7, 53.3,104,0.9, 51.7
1605029401.jpg,2020-11-10 17:30:00,104,2.8, 57.9,112,2.7, 78.4
1609072201.jpg,2020-12-27 12:30:00,141,3.2, 69.1,138,3.6, 65.7
1581024601.jpg,2020-02-06 21:30:00,68,0.4, 28.4,69,0.6, 30.2
1605558601.jpg,2020-11-16 20:30:00,71,1.4, 43.1,71,1.5, 44.3
1605621601.jpg,2020-11-17 14:00:00,123,2.5, 42.6,122,3.0, 57.7
1594328401.jpg,2020-07-09 21:00:00,109,3.1, 65.4,108,3.8, 48.0
1590328801.jpg,2020-05-24 14:00:00,113,2.5, 37.6,102,1.5, 29.9
1603908001.jpg,2020-10-28 18:00:00,81,0.5, 41.2,80,1.7, 37.6
1609421401.jpg,2020-12-31 13:30:00,121,1.1, 59.7,124,2.5, 51.1
1599847201.jpg,2020-09-11 18:00:00,103,1.0, 45.0,104,1.0, 37.0
1588609801.jpg,2020-05-04 16:30:00,103,2.5, 29.7,93,2.4, 25.5
1604957401.jpg,2020-11-09 21:30:00,48,0.7, 32.1,46,0.9, 22.3
1593086401.jpg,2020-06-25 12:00:00,110,3.5, 43.6,121,4.1, 53.6
1610890201.jpg,2021-01-17 13:30:00,123,3.0, 58.1,124,3.6, 75.0
